date,population,food
0815-03-21T00:00,32,66471.51436610197,
0815-03-21T00:00,32,66802.42329173604,
0815-03-21T00:00,32,66990.42821804197,
0815-03-21T00:00,32,67347.93227208595,
0815-03-21T00:00,32,67647.24716463905,
0815-03-21T00:00,32,67811.6703662536,
0815-03-21T00:00,32,67951.56116794575,
0815-03-21T00:00,32,68116.26884089904,
0815-03-21T00:00,32,68225.81664577256,
0815-03-21T00:00,32,68439.19246155553,
0815-03-21T00:00,32,68732.46218850138,
0815-03-21T00:00,32,68741.68586080642,
0815-03-21T00:00,32,68907.95716983458,
0815-03-21T00:00,32,69222.17197728864,
0815-03-21T00:00,32,69216.44235524329,
0815-03-21T00:00,32,69551.4291962273,
0815-03-21T00:00,32,69980.56008693142,
0815-03-21T00:00,32,69992.34104570636,
0815-03-21T00:00,32,70235.00796976566,
0815-03-21T00:00,32,70355.76297104954,
0815-03-21T00:00,32,70725.98468566513,
0815-03-21T00:00,32,71127.98098835346,
0815-03-21T00:00,32,71138.16121422841,
0815-03-21T00:00,32,71502.9710743083,
0815-03-21T00:00,32,72003.28963392887,
0815-03-21T00:00,32,72473.6863435783,
0815-03-21T00:00,32,72489.84290245347,
0815-03-21T00:00,32,72729.59828783778,
0815-03-21T00:00,32,73101.74419539102,
0815-03-21T00:00,32,73485.79633575577,
0815-03-21T00:00,32,73693.59353866763,
0815-03-21T00:00,32,74185.90492585131,
0815-03-21T00:00,32,74454.73461644759,
0815-03-21T00:00,32,74572.70432774018,
0815-03-21T00:00,32,75052.539393774,
0815-03-21T00:00,32,75424.49014659313,
0815-03-21T00:00,32,75813.80728469726,
0815-03-21T00:00,32,76029.23708622418,
0815-03-21T00:00,32,76204.02415307352,
0815-03-21T00:00,32,76387.78755190645,
0815-03-21T00:00,32,76755.99035547522,
0815-03-21T00:00,32,77204.46951040308,
0815-03-21T00:00,32,77224.70725494485,
0815-03-21T00:00,32,77657.19671933021,
0815-03-21T00:00,32,77980.2605459929,
0815-03-21T00:00,32,78109.11502180934,
0815-03-21T00:00,32,78439.00687087169,
0815-03-21T00:00,32,78790.38487510258,
0815-03-21T00:00,32,79033.91987664918,
0815-03-21T00:00,32,79286.18170732936,
0815-03-21T00:00,32,79720.80392108888,
0815-03-21T00:00,32,79978.6514520626,
0815-03-21T00:00,32,80136.49974330244,
0815-03-21T00:00,32,80254.06968059207,
0815-03-21T00:00,32,80742.31791528074,
0815-03-21T00:00,32,80867.63735293449,
0815-03-21T00:00,32,81356.42212343472,
0815-03-21T00:00,32,81600.89605676876,
0815-03-21T00:00,32,81917.49895147758,
0815-03-21T00:00,32,82213.27473574548,
0815-03-21T00:00,32,82344.08743413072,
0815-03-21T00:00,32,82675.9223816224,
0815-03-21T00:00,32,82832.44483026786,
0815-03-21T00:00,32,83306.15689882601,
0815-03-21T00:00,32,83766.2503977828,
0815-03-21T00:00,32,83916.5229785876,
0815-03-21T00:00,32,84085.64634326438,
0815-03-21T00:00,32,84520.63442515113,
0815-03-21T00:00,32,84739.21858793501,
0815-03-21T00:00,32,85084.12164021633,
0815-03-21T00:00,32,85220.77946062906,
0815-03-21T00:00,32,85683.38615126102,
0815-03-21T00:00,32,85945.90300587277,
0815-03-21T00:00,32,86391.45313858986,
0815-03-21T00:00,32,86659.89383867408,
0815-03-21T00:00,32,86891.140519538,
0815-03-21T00:00,32,87306.78845818987,
0815-03-21T00:00,32,87815.05244850375,
0815-03-21T00:00,32,88310.46600860178,
0815-03-21T00:00,32,88603.93660460493,
0815-03-21T00:00,32,88946.0814864309,
0815-03-21T00:00,32,89178.25174035727,
0815-03-21T00:00,32,89627.25259262152,
0815-03-21T00:00,32,89835.07722494227,
0815-03-21T00:00,32,90256.88405393861,
0815-03-21T00:00,32,90758.20928197318,
0815-03-21T00:00,32,91141.73028473581,
0815-03-21T00:00,32,91341.2456961175,
0815-03-21T00:00,32,91711.2365275665,
0815-03-21T00:00,32,91955.15581357254,
0815-03-21T00:00,32,92181.16369882923,
